Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1667260800000,2022-11-01,WAVESUSDT,3.427,3.456,3.345,3.372,2352068.64,7990546.09732,33176
1667174400000,2022-10-31,WAVESUSDT,3.512,3.57,3.342,3.426,5199443.85,17919159.31062,69455
1667088000000,2022-10-30,WAVESUSDT,3.343,3.941,3.342,3.514,14213140.26,52026749.3512,221673
1667001600000,2022-10-29,WAVESUSDT,3.288,3.462,3.283,3.344,3498989.75,11740776.5861,43847
1666915200000,2022-10-28,WAVESUSDT,3.221,3.315,3.162,3.289,2029509.34,6543174.41021,26149
1666828800000,2022-10-27,WAVESUSDT,3.293,3.426,3.206,3.221,3173911.98,10567522.59132,41225
1666742400000,2022-10-26,WAVESUSDT,3.222,3.324,3.217,3.293,2594412.72,8525016.6503,30543
1666656000000,2022-10-25,WAVESUSDT,3.138,3.351,3.124,3.222,3191430.51,10307158.0062,37117
1666569600000,2022-10-24,WAVESUSDT,3.234,3.245,3.114,3.137,2086683.73,6602227.15368,22452
1666483200000,2022-10-23,WAVESUSDT,3.204,3.248,3.125,3.232,1340001.76,4269090.4955,16304
1666396800000,2022-10-22,WAVESUSDT,3.202,3.226,3.153,3.204,1035328.46,3301214.00417,13643
1666310400000,2022-10-21,WAVESUSDT,3.184,3.207,3.02,3.202,1962708.12,6126034.24677,25546
1666224000000,2022-10-20,WAVESUSDT,3.205,3.272,3.151,3.185,1522797.78,4897013.91982,24537
1666137600000,2022-10-19,WAVESUSDT,3.395,3.411,3.175,3.207,1731344.69,5693026.16554,25323
1666051200000,2022-10-18,WAVESUSDT,3.527,3.548,3.336,3.396,2121424.95,7291431.10149,29588
1665964800000,2022-10-17,WAVESUSDT,3.548,3.565,3.428,3.527,2425364.99,8452902.67153,32275
1665878400000,2022-10-16,WAVESUSDT,3.279,3.645,3.276,3.547,6836502.49,24159809.64176,89053
1665792000000,2022-10-15,WAVESUSDT,3.294,3.318,3.257,3.281,771774.99,2540171.69067,11049
1665705600000,2022-10-14,WAVESUSDT,3.358,3.457,3.249,3.296,1747148.47,5892563.01616,23082
