Unix,Date,Symbol,Open,High,Low,Close,Volume HOT,Volume USDT,tradecount
1623024000000,2021-06-07,HOTUSDT,0.00856,0.00875,0.007669,0.007787,3661895313.0,30512214.599776,75407
1622937600000,2021-06-06,HOTUSDT,0.008352,0.00865,0.008281,0.008559,2138968485.0,18160393.110426,41767
1622851200000,2021-06-05,HOTUSDT,0.008562,0.009133,0.008039,0.008355,4183672364.0,35910746.673713,81302
1622764800000,2021-06-04,HOTUSDT,0.009279,0.009289,0.00802,0.008559,5388851799.0,46088831.237182,117027
1622678400000,2021-06-03,HOTUSDT,0.008748,0.009798,0.008674,0.009274,6257215543.0,57978701.635144,141664
1622592000000,2021-06-02,HOTUSDT,0.008547,0.009024,0.008441,0.008754,4037624816.0,35346785.049015,81669
1622505600000,2021-06-01,HOTUSDT,0.009006,0.009162,0.00841,0.008551,3922053826.0,34411838.799797,94550
1622419200000,2021-05-31,HOTUSDT,0.008631,0.009219,0.008355,0.009011,4940046921.0,43216801.451957,106244
1622332800000,2021-05-30,HOTUSDT,0.008167,0.008896,0.007737,0.008629,4985204531.0,42423439.676427,110315
1622246400000,2021-05-29,HOTUSDT,0.008384,0.008989,0.007564,0.008174,6254387422.0,51219450.528891,137272
1622160000000,2021-05-28,HOTUSDT,0.009548,0.009987,0.008,0.008392,9659565690.0,83593405.533602,228116
1622073600000,2021-05-27,HOTUSDT,0.010745,0.01075,0.0093,0.009547,8381232612.0,82826514.552712,264877
1621987200000,2021-05-26,HOTUSDT,0.009338,0.01158,0.009101,0.010742,16056138039.0,167808996.277412,477605
1621900800000,2021-05-25,HOTUSDT,0.007669,0.010456,0.007246,0.009328,18041377561.0,158173607.397623,454345
1621814400000,2021-05-24,HOTUSDT,0.006021,0.007748,0.00587,0.007672,8442409920.0,58862751.861642,180371
1621728000000,2021-05-23,HOTUSDT,0.007055,0.00733,0.004987,0.00601,9360120790.0,56658866.93601,169668
1621641600000,2021-05-22,HOTUSDT,0.007624,0.007745,0.006819,0.007051,7173873677.0,51984022.737563,151172
1621555200000,2021-05-21,HOTUSDT,0.008498,0.009087,0.00645,0.007614,9552414947.0,75461615.121894,203727
1621468800000,2021-05-20,HOTUSDT,0.007184,0.009658,0.00642,0.008513,10078500551.0,83510261.216499,245739
1621382400000,2021-05-19,HOTUSDT,0.011034,0.011229,0.004714,0.007187,15723709950.0,130656405.9660885,386907
1621296000000,2021-05-18,HOTUSDT,0.010999,0.011594,0.01076,0.011034,4717871776.0,52554784.388568,137391
1621209600000,2021-05-17,HOTUSDT,0.011649,0.01215,0.0106,0.010999,7434333320.0,83738468.695457,234058
1621123200000,2021-05-16,HOTUSDT,0.01085,0.012982,0.010656,0.011639,11274441223.0,131896585.477815,338417
